dialog_key,context,response
LCCC-042294,哟西，你也看甄嬛传？,你也看么
LCCC-016232,"有时候我妈砍的价我都替店主捏一把汗
跟我大姨买过一次衣服，再不想跟她去了，你是替店主捏一把汗，我是替我大姨和自己捏一把汗，她挑人家毛病挑的我都怕店主拿刀砍我们……",真的真的，挑毛病挑的我都怕店主轰我们走
LCCC-028793,我周四可以来？,这个活动我不知道
KDCONV-002544,"他出生在1932年12月13日。
哦。那他的出生地是？
他的出生地是日本东京都。还有什么要了解的？
有的。那他的职业是什么？
他的职业是演员。你看过《影子武士》这部剧吗？
没看过。是他的作品吗？
是的，是他的代表作品之一。
哦。那你看过这部影片吗？
看过了。你要看吗？
哦，那我先和你了解下吧？",好的。你要了解哪方面？
LCCC-057341,"财专还是幼专
幼专",嗯嗯
LCCC-035331,小伙伴你过得好吗,小伙伴今天又去逛街了昨天也逛了该买的没有买哎。。
LCCC-103099,"北戴河还有这么好滴地方
碧螺塔对吗？
不是碧螺塔应该是海滨浴场那边在南戴河
是碧螺塔",请问门票多少钱？
LCCC-109908,"不带浪
啊哈！？",感觉你们夜生活丰富哟
LCCC-086348,"姐姐不困么
我是哥哥
么么思密达..",嘿嘿
LCCC-095760,我有朋友明日从广州大学城坐车去松山湖。,哈哈，玩的开心哦
LCCC-058810,"裴先生是不是也天天熬夜看球啊
是啊电灯熬蜡的，觉都不睡",我就昨看了长梅西，平时都看不了
LCCC-093417,是不是迷路了，怎么还没找到我,堵车而已，别激动
LCCC-052310,天啦帅出新高度了更新一下脑子里的电气仔形象,电气的内心
LCCC-087773,"谢谢佶佶
祝你考试顺利",谢谢
ECM-026560,好美好有意境,萝卜、白菜都可以开出花来。
ECM-084792,哈哈，还在看啊？,大结局了嘛！心头难受。
ECM-031649,你想干嘛,我我我我我我我不想干嘛！
ECM-047630,筱晴最期待的就是放学了，停止一天的学习，可以让心情好好放松一下！,是呀，好开心呢。
LCCC-096221,从小到大都怕针。克服不了啊。,可怜
KDCONV-002592,"燕尾蝶这张专辑的歌你听过吗？
听过啊，是我很喜欢的一首歌。
还记得是哪年发行的吗？
是2004年发行的。",这张专辑出自哪个唱片公司呢？
ECM-007148,猫咪你现在变邪恶了哈，什么都懂~~,这个写的很露骨啊……为嘛不懂
LCCC-034423,现在好瘦呢，用的什么方法啊,用的精油啊亲你想瘦哪里呢
LCCC-074281,快说,不如咱们聊点正能量的
LCCC-034238,收钱！！！,回来拿呀
KDCONV-000614,"嗯，118分钟的片长有点不太过瘾啊。
哈哈，那就多看几遍，泰国电影里面，我就只喜欢这部。
对，我和你一样，知道导演是谁吗？
导演是普特鹏·普罗萨卡·那·萨克那卡林。
对这个人不是很了解。
我也不太知道，不过对主演马里奥·毛瑞尔我倒是很了解。
哈哈，是的，他是Starpics泰国电影节最佳男主角，Thegreatawards年度最佳电影男演员。
你还少说了一个Nineentertainawards年度最佳男演员奖。
嗯，当时他可老火了，他还是一个有1/2中国，1/2德国血统的混血儿呢。
对，他还很多才多艺，是个平面模特、演员、歌手。",还当平平面模特呢，那你知道他多高吗？
KDCONV-002734,"必须的，电话是010-64075259，这儿啥时候开放啊？
旺季(5月-10月)8:30-18:00，17:00停止售票；淡季(11月-次年4月)8:30-17:00，16:30停止售票，淡季(11月-次年4月)周一闭馆。
太好了，门票多钱啊？
不贵，才30元，听说景点周边还有很多其他好玩的地方，你知道都有哪些吗？
是啊，故宫，南锣鼓巷，三里屯都离它不远。
故宫能玩多久啊？
能玩12小时-3天，知道故宫在哪儿吗？
地址在北京市东城区景山前街4号，电话是多少啊？
电话是010-85007938。
收到，谢谢！",不客气！
LCCC-063429,"你给柚子带个试试。
她太小了，绳子长出那么多，人家跟我说L的得40才能用，我没信，果然……
那个不分大小啊。都是可以无限伸缩的啊。你的不能吗
能啊，可是伸出来的绳子长的都要拖到地上啦！！看着特别难受！！！
绕一圈。缠在脖子那圈绳子上。我的也长。一会我带上出去溜溜。希望别跑了就行",嗯嗯，你给紧点，别太勒就行，别把我们吵吵遛丢啦
LCCC-054352,找到钱包没呀？,找到了
LCCC-074642,"我这学期第一次那么晚睡
好郁闷啊！！你到家了？
是啊，，，烦死了，连觉都没得睡，被吵醒
你家来人了？？
不呀，，被我爸吵醒，让我去外婆那
就不能改天去啊，你好听话！要是我死都不起。。
我被吵的不行，反正都睡不着了",你们几号开学？放假好早
LCCC-053578,大侄子我白兴奋了,怎么了，兴奋啥
ECM-002430,哈哈你怎么开始麻将了啊,行情会变多学门技术
LCCC-041185,"我跳过舞'还有照片
我要看",来我家
LCCC-104344,"家里也下大雪了成绩好像今天出来
哦，那查一下
查了说没信息",那就是湖南的还没有出咯
LCCC-048537,买了尊享卡吗有钱人？,我觉得还是值得的
ECM-009701,有点可能,莫非你也是处女座吗？？
ECM-022959,神秘园现实好热门喔几时?约个时间一齐去啦,明天吧！约约距地啦！
KDCONV-000686,"你好，知道蟹岛城市海景水上乐园在什么地方吗？
地址在北京市朝阳区蟹岛路1号，你有这里的电话吗？
当然了，电话是010-84339689;010-84339191，这个景点能玩多久呢？
大概能玩3天，知道景点什么时间开放吗？
5月28日-8月31日9:00-19:00；高架水滑梯18:00关闭，门票多少钱呢？
不算太多，60元。",还可以，这个景点周边可否有别的景点啊？
KDCONV-001911,"这个景点适合游玩多久呢？
建议游玩2小时。
这个景点的地址在哪呢？
地址在北京市朝阳区大山子张万坟金南路18号。你知道这个景点的开放时间吗？
知道啊，开放时间是周一9:00-16:00（15:00停止售票），周二-周日9:00-17:00（16:00停止售票）。
门票费是多少钱呢？
门票是100元。
周边有哪些景点呢？
周边的景点有红砖美术馆。
红砖美术馆适合游玩多久呢？",建议游玩1小时-2小时。这个景点的电话是多少呢？
LCCC-070021,"万妹妹呀，你慢点飞
我飞什么？",飞的越高，甩得越
KDCONV-001327,"你听过《可啦思刻》这张专辑吗？
我记得是方大同演唱的吧？
是的，方大同可是我男神呢，你知道你是他是几几年出生的哪的人吗？
嗯呢，他是很年轻的，1983年出生于美国夏威夷。
嗯，我记得他有很多的代表作品吧，像是《三人游》、《千纸鹤》和《悟空》吧？
对的呢，真的非常好听，话说回来我记得《可啦思刻》有英文版的吧？",嗯呢，有的，也有国语版的，你第一次是什么时候听到这首歌的？
LCCC-056976,"未来还有公交车不应该直接传送吗
出门就是传送带不用走路",说实话，我小的时候家离学校远，二十多年前交通不方便，公交车很早就没有了，每天还要挤。那个时候我就在想，每条马路都是一个传送带就好了，人一站上去就自动走。或者有一种鞋也是自动走的。
LCCC-062745,"人以群分
深深体会到了这句话的精髓
想听故事
这几天跟舍友吵架，在食堂里面遇见真的超尴尬。。。
天惹不要理他们惹。还是表面和睦点好",嘻嘻，然而我已经决定不跟他讲话惹，虽然有点像女生吵架。。。
LCCC-028270,"到哪里嗨了
钱都没有怎么嗨",你们巴中莫
LCCC-103260,你好幸运,现在感觉好害怕！！我当时要是没有挪会怎么样
LCCC-071823,"你们两个都在找女朋友啊，不如你们在一起吧
赞同哈哈哈哈哈哈",最主要的是他们两个赞同
KDCONV-001758,"代表作是：爱的海洋和我的歌声里。
爱的海洋是哪一年发行的。
这首歌是在2013年发行的哟。
这首歌有多长时间。
这首歌不是很长呀，也就3分46秒。
那你知道他的MV导演是谁吗？
是黄中平。
爱的海洋的填词的是曲婉婷。
真的吗？
是的，也是原唱哟。",这首歌的音乐风格是什么？你是你喜欢的风格吗？
LCCC-093255,"姐如果经历的够多,就不会童心未泯啦.
保持童心。不过我觉得嘟嘟长大了估计你的童心就泯了
老天真也是很可怕的~~
你要是老天真我会想吐不爱理你了。然后你也会被学长爸抛弃","学长爸夜夜笙歌,还没有出现呐"
LCCC-068210,我要存钱买硬盘,为什么不让用云盘啊。。。
ECM-011747,第一眼看以为你说陈汉典。,我后来看也这么觉得。应该请陈汉典作代言人。
LCCC-051566,"棒子最丑
丑拒
拒不承认",就是丑！不认也得认！
LCCC-016017,"数羊。
一只叭叭，两只叭叭",数我你就更睡不着了。
LCCC-051033,那个芝士每次去必点,哈哈确实好吃我还是最喜欢蟹柳蟹棒～
ECM-065738,你说的这个人她应该没微博吧,恩！蛮可惜的！
LCCC-106925,学车咯,唉你个假就放得轻松啦我喔唉唉唉唉唉
KDCONV-001801,"那一定投入了很多钱了？
大概6,000,000美元。不过挺值的，票房收入不错。
是，我听说美国的票房收入为23,272,306美元。
这部电影选用了布莱恩·辛格来担当导演，这也是精挑细选出的合格人选。
他的解是一个优秀的导演，他获得过奥斯卡最佳原着剧本、最佳男配角奖。
他还有很多优秀的电影呢，比如《X战警》、《超人再起》等。
嗯，他的电影是很受欢迎。看来公司为了这部电影真是下了功夫了。
是的，还记得《非常嫌疑犯》的主演们吗？
当然，有凯文·史派西、凯文·波拉克、加布里埃尔·伯恩等联合主演的。
凯文·史派西可以多是多才多艺了，他是一名演员、导演、制片、配音。",真是够全才的了。
LCCC-019876,"说真的我就看到了色素和植物奶油
楼主不要理杠精",好哦
LCCC-017951,看到你们的聊天,我也就是那么说，并不会那么做
LCCC-075248,我也想见害羞的你,你恢复怎么样啦
LCCC-061428,"上课的时候可以补觉嘛
不行，在桌上趴着睡我特容易流口水
这么可爱？哈哈记得垫纸巾噢",你给我？
LCCC-068726,"来丫头
去了，再备一桶泡面",来了就不是让你吃泡面了
LCCC-009531,"婶婶约吗
约~
婶婶你开刷了吗",我在刷
LCCC-074585,"“城市的夜晚霓虹灯璀璨、亮瞎我的眼。
你没眼",你是我的眼。
ECM-008274,我可不能讨厌，一旦讨厌就不来了，不来了的话满脸痘痘啊,额。。好惨啊你
ECM-043058,美女~,哈哈谢谢
LCCC-028171,"那现在中通还送快递吗？我现在有一个包裹就是中通的
不清楚反正是垃圾快递以后抵制",我也没仔细看，后来才发现是中通的
ECM-037214,我是快男,不是主持人吗
LCCC-065862,"国际处是干嘛的～
留学
啥时候去啊为啥他让你现在就去问～",不一定现在有项目先去问问哈
LCCC-103005,有个疑点胖挖出胡宇岚是咋回事？在线等！,有网友曝料给他。他没那么大的本事。
LCCC-023516,感谢代购,不客气。原来你也玩WB啊。
LCCC-027219,"上次阅读大概就有17道了
阅读总共20吧--",好像是15还是16
LCCC-094396,"你早换头像我就不问了阿
你不问我我都不会换头像咯！",还不谢谢我
LCCC-069556,"我就是胖子
不不不，你肯定是在说我
嗯都是胖子。不然怎么搞的拢堆！
本来也是，我最爱和说自己胖得人一起耍了，因为她欠揍
不用揍！要用砍的！
要的，正好你也要换个尖脑壳了，不用谢
用削的",要砍！带力些，这个我说了算！你不用管，安心等着
ECM-078172,亲爱的节日快乐，悲崔的我名早出差！,抱抱共勉吧忙过这段觅一下哈
KDCONV-000249,"这家书院的地址在哪呢？
北京市密云区古北口镇司马台村古北水镇景区内令公街001号，你知道什么时间对外开放吗？
知道啊，开放时间是9:00-17:00。
有门票费吗？
没有的。
这周边有啥景点吗？
周边有景点古北水镇。
古北水镇适合游玩多久呢？
建议游玩12小时-3天。
这个景点的地址在哪呢？",地址在北京市密云县古北口镇司马台村古北水镇。
LCCC-106966,啊，我昨天晚上梦见你，我们不知道坐的什么车，比拖拉机大点，比公交车小点，也不知道去哪儿，车上有六七个人吧，都认识，有路过大海，有刮大风，最后一下到你家门口了，你说咱搬个小板凳说话吧，然后我说不行啊，明天开学，我得回家了。嗯，我下午要回家啊,嗯回家吧回家多好我们家门口好有很棒的无线
KDCONV-000238,"听过《9》吗？
外文名字应该叫《nine》吧？
嗯呢，这么冷门的你都知道，佩服佩服。
还行吧，不算冷门吧，之前有听过的，所以有印象，是在哪发行来着？
哦，在中国和爱尔兰。
嗯，是歌手DamienRice演唱的吧？
对对，很喜欢他的声音呢，英文歌曲很好听的。
哦，而且这个专辑的音乐风格是非主流音乐的吧？",我记得是，但是我不知道啥叫非主流音乐，你知道不？
LCCC-069252,"嗨，蜗牛妞，我回来了。
什么时候到的呀？
昨天早上到的，然后昨天在住处休息了一天，没有去上班。",哦，回家一趟累成这样啊！
KDCONV-001993,"你好，我想去古北口长城玩，你知道这里的电话是多少吗？
必须的啊，电话是010-81051869，地址可以告诉我一下吗？
没问题，地址在北京市密云区古北口镇古北口村，这儿可以玩多久啊？
大概可以玩3天，知道这里啥前儿开放吗？
通常都是8:00-17:00，景点周边有其他景点吗？
嗯呢，周边景点有古北古镇，杨令公庙等。",杨令公庙在什么位置啊？
ECM-066958,爆右边一对一，吊左边身后,哎，可怜的阿森纳球迷~
LCCC-090864,一觉起来全是我的赞,你怎么知道我睡了
ECM-020362,乔波？那地方一般。,占用周末简直是耍流氓行为
LCCC-073225,"天晴了就该出去走走
年轻，就该出去走走",哈哈对啊对啊小哥哥老了，适合在家喝枸杞看电视咯
LCCC-054338,我去真奇葩还能拿行李箱瞬间觉得自己爷们儿了,哎柔弱真的很招人喜欢么？
LCCC-066911,"还是今天的你会聊天
因为开启了会聊天模式",哈哈哈哈哈哈赢了！
ECM-024330,在西单，有时间来看看,109珠宝厅还是羊肉胡同？
LCCC-013096,"你是？
你猜",你在教室？
LCCC-003261,谁会对石头的兴趣大,你还捡回来收藏了
ECM-022134,明天看涨大盘~,哦。是伐？明天涨了加菜加菜哈哈！
LCCC-074681,啥时候回家,回不去了我，没假，你玩完回家了？
LCCC-005562,"每次叫你打球你都不来。
最近太忙了，波波我买了手机明天可能到",什么手机？
LCCC-023575,"啥手机飞行模式能上网？
一直可以",我的不行...
LCCC-054521,l姑婆～你真美～,打你了～
LCCC-013656,穿一件卫衣的我,你这就厉害了
LCCC-010293,"最喜欢小泰迪了
谢谢亲喜欢我们家的旺旺",主要是可爱
LCCC-092362,为什么我之看见一只羊,还有影子呢，看到没
ECM-038870,大人还认识胡耀邦阿!,我在你眼里就那么无知？这不该是常识吗？
LCCC-043336,"宝宝艺考的地方
校考是枫林校区。。我在红角州",那还不错
KDCONV-001458,"你一定听说过郑钧吧？
当然了，他可是东方风云榜最受欢迎男歌手奖获得者呢。
还有年度最佳摇滚男歌手，音乐风云榜年度最佳摇滚专辑。
他现在50了吗？
我知道他是1967年11月出生的。他是西藏人吗？",不是，他是西安人。
ECM-091365,讲真唔系好了解你啰,哈哈。。。甘你日后慢慢了解吧
LCCC-019337,这个学期是不是比较闲了？,挺闲的啦~~~
LCCC-057148,下了一天,明天好像还接着下……
LCCC-099244,"饿了
吃呀拿出你的魄力",我胖得我没有魄力
LCCC-062013,乖生日快乐不好意思顾着自己忙的事情去了。成长的路上相信你会把握好自己。,还有以后下次来就是了
LCCC-059814,我更喜欢你美丽的脑袋～,为什么你的作品都是关注别人的身体，到我这里就喜欢脑袋了呢？我的身体在哭泣。
ECM-061554,够骚。。,骚不可耐
LCCC-091670,"看饿
快去吃",正在路上
